Initialising login role...
current_cat,suggested,name,brand
gonna,pantaloni,Gonna pantalone con spacco laterale - LIMITED EDITION,Massimo Dutti
gonna,pantaloni,Gonna pantalone di lino,Mango
gonna,pantaloni,Gonna pantalone midi a pieghe,Massimo Dutti
intimo,calzini,Calzini a costine in misto cotone,Massimo Dutti
intimo,calzini,Calzini eleganti a tinta unita,Massimo Dutti
intimo,calzini,Calzini eleganti in canneté,Massimo Dutti
intimo,calzini,Calzini in maglia tinta unita misto cotone,Massimo Dutti
intimo,calzini,Pack di 3 paia di calzini fantasmini in misto cotone,Massimo Dutti
intimo,pantaloni,Pigiama con maglietta a maniche corte e pantaloni a righe,Massimo Dutti
intimo,pantaloni,Pigiama maglietta maniche corte pantaloni a righe 400,Massimo Dutti
intimo,pantaloni,Pigiama maglietta maniche corte pantaloni a righe 403,Massimo Dutti
intimo,t-shirt,Pigiama a righe con maglietta a maniche lunghe 100% cotone,Massimo Dutti
intimo,top,Top a triangolo in seta,Massimo Dutti
jeans,camicia,Camicia Oxford Oversized,Uniqlo
jeans,camicia,Camicia popover in denim,COS
jeans,giubbotto,Giubbotto con Zip,Uniqlo
jeans,intimo,Jeans Catherin culotte vita alta,Mango
jeans,intimo,Jeans Catherin culotte vita alta 27057138,Mango
jeans,intimo,Jeans Catherin culotte vita alta 27066337,Mango
jeans,pantaloni,PANTALONI BALLOON FIT CON PIEGHE,Zara
jeans,pantaloni,PANTALONI CARPENTER FLUIDI WILLY CHAVARRIA X ZARA,Zara
jeans,pantaloni,PANTALONI FLARE FIT 100% LANA,Zara
jeans,pantaloni,PANTALONI JACQUARD CUPRO WILLY CHAVARRIA X ZARA,Zara
jeans,pantaloni-eleganti,PANTALONI CON PIEGHE DA COMPLETO WILLY CHAVARRIA X ZARA,Zara
jeans,pantaloni-eleganti,PANTALONI DA COMPLETO 100% LINO,Zara
jeans,pantaloni-eleganti,PANTALONI DA COMPLETO A QUADRI 100% LANA,Zara
jeans,pantaloni-eleganti,PANTALONI GESSATI 100% LANA,Zara
jeans,shorts,Pantaloncini denim vita media,Massimo Dutti
jeans,shorts,Shorts in denim a gamba larga con cintura,COS
jeans,t-shirt-oversize,T-shirt AIRism Cotone Oversized Girocollo,Uniqlo
jeans-regular,pantaloni,PANTALONI REGULAR FIT CON PIEGHE,Zara
jeans-regular,pantaloni,PANTALONI STRAIGHT FIT,Zara
jeans-regular,pantaloni,PANTALONI STRAIGHT FIT CANAPA - COTONE,Zara
jeans-regular,pantaloni,PANTALONI STRAIGHT FIT CON PIEGHE,Zara
jeans-regular,pantaloni,PANTALONI STRAIGHT FIT VELLUTO A COSTINE,Zara
jeans-wide,pantaloni,PANTALONI CARPENTER WIDE FIT,Zara
jeans-wide,pantaloni,PANTALONI IN MAGLIA WIDE FIT,Zara
jogger,pantaloni,Pantaloni della tuta aderenti in jersey Commuter,Lacoste
jogger,pantaloni,Pantaloni della tuta con marchio goffrato,Lacoste
jogger,pantaloni,Pantaloni della tuta della squadra di tennis francese,Lacoste
jogger,pantaloni,Pantaloni della tuta felpati,Lacoste
jogger,pantaloni,Pantaloni della tuta in con monogramma Paris,Lacoste
jogger,pantaloni,Pantaloni della tuta in jersey wide fit,Lacoste
jogger,pantaloni,Pantaloni della tuta in piqué,Lacoste
jogger,pantaloni,Pantaloni della tuta in piqué con bordo,Lacoste
jogger,pantaloni,Pantaloni della tuta regular fit,Lacoste
jogger,pantaloni,Pantaloni della tuta slim fit,Lacoste
jogger,pantaloni,Pantaloni della tuta sportivi elasticizzati,Lacoste
jogger,pantaloni,Pantaloni della tuta sportivi leggeri,Lacoste
jogger,pantaloni,Pantaloni della tuta svasati con monogramma,Lacoste
jogger,pantaloni,Pantaloni sportivi della tuta con bordo,Lacoste
maglione,bomber,Bomber in maglia double face con zip,Lacoste
maglione,camicia,Camicia in lana merino,COS
maglione,camicia,Camicia in lana merino 1327611003,COS
maglione,camicia,Camicia in maglia di lino e lana merino,COS
maglione,camicia,Camicia in maglia di lino e lana merino 1327293001,COS
maglione,gonna,Gonna midi in lana merino dalla linea arrotondata,COS
maglione,intimo,Body in maglia di seta e cashmere trasparente,COS
maglione,pantaloni,Pantaloni a gamba larga in lana merino cotta,COS
maglione,polo,Polo in maglia bouclé classic fit,Lacoste
maglione,polo,Polo in maglia bouclé classic fit,Lacoste
maglione,t-shirt,Maglietta scollo a barchetta a righe in lino,Massimo Dutti
maglione,top,Top in maglia asimmetrico,Massimo Dutti
pantaloni,abito,Pantaloni da abito navy straight leg,Suitsupply
pantaloni,abito,Pantaloni da abito navy wide leg straight,Suitsupply
pantaloni,abito,Pantaloni da abito navy wide leg straight B7260,Suitsupply
pantaloni,abito,Pantaloni da abito navy wide leg tapered,Suitsupply
pantaloni,felpe,Felpa Oversized,Uniqlo
pantaloni,jeans,Jeans alla Caviglia Comodi Elasticizzati,Uniqlo
pantaloni,jeans,Jeans Comodi Ampi Taglio Dritto,Uniqlo
pantaloni,jeans,Jeans Ultra Elasticizzati Skinny,Uniqlo
pantaloni,leggings,Leggings con elastico in pelle nappata,Massimo Dutti
pantaloni,leggings,Pantaloni leggings campana fit in pelle scamosciata,Massimo Dutti
pantaloni,shorts,Bermuda con chiusura incrociata - STUDIO,Massimo Dutti
pantaloni,shorts,Bermuda con dettaglio in vita in cotone,Massimo Dutti
pantaloni,shorts,"Bermuda con elastico in lino, total look",Massimo Dutti
pantaloni,shorts,Bermuda corti globo - STUDIO,Massimo Dutti
pantaloni,shorts,Bermuda corti total look con lino,Massimo Dutti
pantaloni,shorts,Bermuda da completo mélange lino,Massimo Dutti
pantaloni,shorts,Bermuda in cotone con vita elasticizzata,COS
pantaloni,shorts,Bermuda in pelle nappa - LIMITED EDITION,Massimo Dutti
pantaloni,shorts,Bermuda in tessuto tecnico,Massimo Dutti
pantaloni,shorts,Bermuda largo fluido - STUDIO,Massimo Dutti
pantaloni,shorts,Bermuda lunghi con dettaglio a pince in lino - LIMITED EDITION,Massimo Dutti
pantaloni,shorts,Bermuda lunghi con dettaglio a righe,Massimo Dutti
pantaloni,shorts,Bermuda lunghi in lino 251,Massimo Dutti
pantaloni,shorts,Bermuda lunghi in lino 800,Massimo Dutti
pantaloni,shorts,Bermuda lunghi in pelle nappa,Massimo Dutti
pantaloni,shorts,Bermuda lunghi in pelle scamosciata,Massimo Dutti
pantaloni,shorts,Bermuda tasca misto cotone,Massimo Dutti
pantaloni,shorts,SHORTS 100% SETA,Zara
polo,camicia,Camicia a maniche corte in lino e cotone,Massimo Dutti
polo,camicia,Camicia polo con ricamo 100% cotone,Massimo Dutti
polo,felpe,Polo loose fit in tessuto felpato con stemma,Lacoste
polo,t-shirt,Maglietta polocolor sabbia a maniche lunghe,Suitsupply
shorts,cargo,Bermuda cargo straight fit stampati,Lacoste
shorts,cargo,Shorts cargo in cotone felpato,Lacoste
shorts,chinos,Shorts chino in twill elasticizzato,Lacoste
t-shirt,canotta,Canotta 100% cotone 251,Massimo Dutti
t-shirt,canotta,Canotta 100% cotone 722,Massimo Dutti
t-shirt,canotta,Canotta a righe lino,Massimo Dutti
t-shirt,canotta,Canotta con scollo quadrato,Massimo Dutti
t-shirt,canotta,Canotta in cotone a coste,COS
t-shirt,canotta,Canotta in misto lino,Massimo Dutti
t-shirt,canotta,Canotta misto lino,Massimo Dutti
t-shirt,canotta,Canotta slim in cotone a coste,COS
t-shirt,canotta,Canotta slim in cotone a coste 1150895022,COS
t-shirt,intimo,Body collo a V,Mango
t-shirt,shorts,100% cotton short-sleeved T-shirt,Massimo Dutti
t-shirt,top,TOP A COSTE CON SPALLINE,Zara
t-shirt,top,TOP A FASCIA DRAPPEGGIATO CON TEXTURE,Zara
t-shirt,top,Top a maniche corte in crochet,Massimo Dutti
t-shirt,top,Top asimmetrico con dettaglio drappeggiato in misto lino,Massimo Dutti
t-shirt,top,Top asimmetrico con dettaglio gioiello,Massimo Dutti
t-shirt,top,TOP CANOLÉ SENZA MANICHE,Zara
t-shirt,top,Top con collo drappeggiato e dettaglio gioiello,Massimo Dutti
t-shirt,top,Top con scollo drappeggiato e spilla,Massimo Dutti
t-shirt,top,Top con spalline 100% lino,Massimo Dutti
t-shirt,top,Top con spalline e dettaglio crochet,Massimo Dutti
t-shirt,top,Top con spalline e scollo a barca,Massimo Dutti
t-shirt,top,Top con spalline in canneté misto seta,Massimo Dutti
t-shirt,top,Top con spalline in misto cotone,Massimo Dutti
t-shirt,top,TOP CORTO A COSTINE,Zara
t-shirt,top,Top drappeggiato a righe in cotone,Massimo Dutti
t-shirt,top,Top drappeggiato lucido con dettaglio nodo,Massimo Dutti
t-shirt,top,TOP HALTER IN LINO,Zara
t-shirt,top,TOP HALTER IN MAGLIA ELASTICIZZATA,Zara
t-shirt,top,Top halter in maglia senza maniche,Massimo Dutti
t-shirt,top,Top halter in misto cotone,Massimo Dutti
t-shirt,top,Top in cotone con spalle scoperte,Massimo Dutti
t-shirt,top,Top scollo incrociato in misto lino,Massimo Dutti
t-shirt,top,Top senza maniche con dettaglio in pizzo,Massimo Dutti
t-shirt-basic,canotta,CONFEZIONE 3 CANOTTE BASIC,Zara
t-shirt-basic,cardigan,Cardigan in maglia pointelle slim fit,Lacoste
top,camicia,Camicia in lino con scollo a v 1327610001,COS
top,polo,Polo in maglia di lino e lana merino 1327194001,COS
tuta,pantaloni,Pantaloni da tuta sportiva in taffetà a rombi,Lacoste
vestito,jeans,Salopette denim premaman,Mango
vestito,jeans,Salopette denim premaman 27051319,Mango
vestito,polo,Polo senza maniche in piqué,Lacoste
vestito,polo,Tuta con collo a polo in piqué elasticizzato,Lacoste
vestito,polo,Tuta corta con collo a polo di produzione francese,Lacoste
A new version of Supabase CLI is available: v2.98.2 (currently installed v2.90.0)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
